lon,lat,kuname
135.503912,34.704717,北区
135.528899,34.709207,都島区
135.476875,34.69363,福島区
135.449495,34.681552,此花区
135.507442,34.679003,中央区
135.483066,34.676991,西区
135.450096,34.65921,港区
135.464859,34.644507,大正区
135.519319,34.657931,天王寺区
135.493602,34.659255,浪速区
135.440129,34.701013,西淀川区
135.482798,34.726756,淀川区
135.529479,34.741154,東淀川区
135.545207,34.673673,東成区
135.541549,34.650448,生野区
135.544242,34.7212,旭区
135.546623,34.69797,城東区
135.51257,34.634426,阿倍野区
135.573285,34.701348,鶴見区
135.471082,34.612893,住之江区
135.500554,34.603621,住吉区
135.526689,34.62218,東住吉区
135.558071,34.607462,平野区
135.490587,34.637401,西成区